# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 18:34:15
# Generated from file: Y:\Ellin\2021\SCiLS files\2021-07-27_NE_MB_posMS_DHBsublim.slx
# Object Full Name: PCA_2021-07-27_MB_DHB
# Object ID: 9aabae3d-923a-4cc5-9977-7b5e94506778
# Object type: PCA
# Object creation time: 2021-07-28 21:45:40
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
172;-100259634.916691;-7888770.06915839;-9867979.5154073;1474021.19946079;-980150.582341222
173;-63755093.0760558;-1946918.54770752;-16951803.0873944;762875.097356879;347115.962881294
174;-95265967.1324572;14803386.1788774;-5205813.96727927;-7137925.38384575;200704.362867043
175;-85453372.345183;15037640.9318537;-4280986.41394436;-7194153.74480234;3390340.264533
176;-62087488.8545039;7529984.2090903;-1238487.69103052;-4648319.35075798;4098481.18175786
177;-80466596.55991;15347437.7266491;-5684135.67991086;-6806791.71268324;3929801.12913216
178;-60746659.0938811;-362618.267310857;-14887758.4949991;1814472.62359368;636235.575208126
179;-110595986.951392;-6503324.71024961;-6567070.35641201;2535183.47654785;171215.076473877
180;-73395073.5107959;1045271.13359031;-17755572.1410557;2702811.36649414;-1292484.0072145
181;-97780483.3646212;6519873.54459129;-12764673.666795;1609452.82601091;-2540192.93542611
182;-86764816.3307937;8737536.52422782;-10399607.481031;-775255.569677995;-3226464.17969555
183;-80436652.6665021;6463902.1161284;-14528383.7621859;1415158.74738178;-2350860.80849594
184;-94522928.244431;7066509.5939604;-12013487.734564;538332.833867595;-2715108.11656018
185;-80737014.6134028;5368535.24314237;-15468846.0974938;1554391.96231063;-1503635.13951659
186;-71228456.7933525;3276615.66127936;-16049322.410678;1248069.18908038;-2641998.7692782
187;-86260584.66334;3222616.06868658;-17496424.9477751;2185719.42201281;-934794.225330691
188;-73746508.0007785;1309563.1457376;-17534279.8052055;2939119.27701181;-2344861.49424158
189;-84481308.2978173;2595457.72119155;-17314258.4718245;2888341.72341599;-2838527.15419
190;-114465483.58819;-1551855.72596393;-13483606.9010387;4235941.81053776;-555134.404291607
191;-93003375.48021;-2454782.56821539;-14435903.0411189;4014941.31553529;945405.571735095
192;-68324956.2771953;5417299.37446017;-11921425.9866505;43023.1969585002;940008.762965232
193;-67645256.4664317;17083331.3713482;-4693870.56590874;-5732395.71294413;5957469.60119795
194;-60954533.5691419;12569644.3541798;45416.0764045974;-5583535.45583236;6110676.5672274
195;-72970135.5054211;14866902.7754132;-6453008.47774293;-6035833.66123772;4850591.91898734
196;-53191526.0146082;-3972367.70098647;-12393832.7733998;-1003128.45599302;2877488.83970636
197;-83213208.53568;-2678234.15298302;-15647101.9619394;2524788.29584355;955258.953622706
198;-53650229.2035357;-6078754.75452176;-14647312.2280158;967144.706232085;-409869.39235949
199;-59096744.0203691;-4340946.50956239;-17058780.9307813;-200297.861861825;-345467.110648613
200;-92620197.0477485;10885905.112863;-6312229.62113612;-6485024.50158994;-1417195.64458899
201;-65954759.1263935;13691239.3694703;-2544946.9497891;-10111834.49001;1782927.29624421
202;-73664030.3319822;4077000.29107945;-2175025.53799293;-6869204.18109583;4910637.82293008
203;-63173821.1074341;7229784.85615143;-3874101.17930477;-6258365.05747293;5893842.76799424
204;-94850227.6498423;1320959.98615804;390133.356927895;-9240802.37567956;5274329.13875038
205;-87798874.6444882;13417082.7708247;-3844318.49590565;-8425841.35804191;136492.45334394
206;-64710998.5055524;-3060423.57349345;-17178087.984691;-1082487.60936664;290469.639520294
207;-80684431.9069114;-4203422.3908196;-18544845.7829818;1341098.70909642;-1365697.96560675
208;-73877038.798358;-3390986.61844372;-18671546.3553051;1885213.53996902;-148067.840944419
209;-85688877.1064508;8394205.54833947;-10572149.7677946;-4174034.28880825;-2349279.80290517
210;-67266963.8652707;16675664.2996547;-4608164.58719954;-10209534.4930788;-978236.054626329
